pr,netrad,Test,output,GHM,Domain,model_netrad
0.6977776690061915,0.17638567285723636,spearman,qtot,matsiro,wet cold,yes
0.7524933483033718,0.15372186777467572,regression,qtot,matsiro,wet cold,yes
0.8700734042828465,0.3200957069695274,spearman_partial,evap,matsiro,dry cold,yes
0.882614700225319,0.42855446249589074,spearman,evap,matsiro,dry cold,yes
0.506725274265945,0.09960338308224889,regression,evap,matsiro,dry cold,yes
0.7850016192083383,-0.2953870672813408,spearman_partial,qr,matsiro,dry cold,yes
0.7624951129186405,0.06647149818522408,spearman,qr,matsiro,dry cold,yes
0.19835582781162367,0.032781821503742266,regression,qr,matsiro,dry cold,yes
0.7410365720229279,-0.35466064983232526,spearman_partial,qtot,matsiro,dry cold,yes
0.6959764443306412,-0.015220079034854093,spearman,qtot,matsiro,dry cold,yes
0.35901878861279674,0.028477206909551772,regression,qtot,matsiro,dry cold,yes
0.8677119942402963,0.12584732987884747,spearman_partial,evap,matsiro,dry warm,yes
0.9344814872393357,0.7036667580601206,spearman,evap,matsiro,dry warm,yes
0.5390639756472578,0.14290192795729556,regression,evap,matsiro,dry warm,yes
0.7168250105854798,-0.10619789547888941,spearman_partial,qr,matsiro,dry warm,yes
0.8061349186463916,0.5365599719277963,spearman,qr,matsiro,dry warm,yes
0.1819532839318902,0.04320348224824146,regression,qr,matsiro,dry warm,yes
0.8753701092597198,-0.10208858086239742,spearman_partial,qtot,matsiro,dry warm,yes
0.9278869595307155,0.6413879007962517,spearman,qtot,matsiro,dry warm,yes
0.34001306800672765,0.09663059702992917,regression,qtot,matsiro,dry warm,yes
0.26573186051110587,0.4987616299886019,spearman_partial,evap,pcr-globwb,wet warm,no
0.6137950375342969,0.7044240857271357,spearman,evap,pcr-globwb,wet warm,no
0.23527929153654334,0.7309013110656362,regression,evap,pcr-globwb,wet warm,no
0.7041615230919211,-0.29004071799401326,spearman_partial,qr,pcr-globwb,wet warm,no
0.7139399973391679,0.33062800342880433,spearman,qr,pcr-globwb,wet warm,no
0.39585569560878475,0.25002402851241523,regression,qr,pcr-globwb,wet warm,no
0.7681421621778095,-0.39075881765742454,spearman_partial,qtot,pcr-globwb,wet warm,no
0.7511373824625688,0.3151129903960074,spearman,qtot,pcr-globwb,wet warm,no
0.7236652026408202,0.3983218284330897,regression,qtot,pcr-globwb,wet warm,no
0.4138524614626435,0.40061922450883575,spearman_partial,evap,pcr-globwb,wet cold,no
0.6961332903334192,0.6913020193113564,spearman,evap,pcr-globwb,wet cold,no
0.19237061555595722,0.4761576959103871,regression,evap,pcr-globwb,wet cold,no
0.6287131906831547,-0.012906369491050996,spearman_partial,qr,pcr-globwb,wet cold,no
0.7442624444109661,0.5123179836744367,spearman,qr,pcr-globwb,wet cold,no
0.45256034640300746,0.40377571518078315,regression,qr,pcr-globwb,wet cold,no
0.6848796384616357,-0.26719172836927874,spearman_partial,qtot,pcr-globwb,wet cold,no
0.708193289573568,0.3580425226565032,spearman,qtot,pcr-globwb,wet cold,no
0.7028047286458474,0.44624045789924055,regression,qtot,pcr-globwb,wet cold,no
0.7012976121408545,0.1825158267518709,spearman_partial,evap,pcr-globwb,dry cold,no
0.747837215861955,0.4019997500168713,spearman,evap,pcr-globwb,dry cold,no
0.517350542590969,0.2673047184115559,regression,evap,pcr-globwb,dry cold,no
0.5451478489410526,-0.043783979311505024,spearman_partial,qr,pcr-globwb,dry cold,no
0.565966971628051,0.18646171235903145,spearman,qr,pcr-globwb,dry cold,no
0.1515359327933241,0.07202185610547851,regression,qr,pcr-globwb,dry cold,no
0.6068470385561542,-0.1926285841757231,spearman_partial,qtot,pcr-globwb,dry cold,no
0.5905709056542515,0.08602378945790769,spearman,qtot,pcr-globwb,dry cold,no
0.42042856710303284,0.11189580626902562,regression,qtot,pcr-globwb,dry cold,no
0.888817167734925,0.015996654617365047,spearman_partial,evap,pcr-globwb,dry warm,no
0.931925527032294,0.6114828678518217,spearman,evap,pcr-globwb,dry warm,no
0.6567096968296802,0.5917465930186397,regression,evap,pcr-globwb,dry warm,no
0.4768404598848681,-0.18125362896013153,spearman_partial,qr,pcr-globwb,dry warm,no
0.4802639719552546,0.1922355417170564,spearman,qr,pcr-globwb,dry warm,no
0.09262993864030379,0.06488926606857019,regression,qr,pcr-globwb,dry warm,no
0.6614268834107175,-0.1211876568566815,spearman_partial,qtot,pcr-globwb,dry warm,no
0.7240512242814487,0.4082468000006067,spearman,qtot,pcr-globwb,dry warm,no
0.31428751980924724,0.25311521954845684,regression,qtot,pcr-globwb,dry warm,no
0.18781477133701993,0.5983517718913264,spearman_partial,evap,watergap2,wet warm,yes
0.6034849224763902,0.7595419152702937,spearman,evap,watergap2,wet warm,yes
0.2662259193514368,0.7077298066875418,regression,evap,watergap2,wet warm,yes
0.630823277432676,-0.07708803291919053,spearman_partial,qr,watergap2,wet warm,yes
0.7172342354735033,0.4452783125874154,spearman,qr,watergap2,wet warm,yes
0.20390944266829475,0.22534158374548077,regression,qr,watergap2,wet warm,yes
0.7513778520621213,-0.4219601822674698,spearman_partial,qtot,watergap2,wet warm,yes
0.7119490489500193,0.26293954926424434,spearman,qtot,watergap2,wet warm,yes
0.6527934821019649,0.24153300595057733,regression,qtot,watergap2,wet warm,yes
0.4372192045174512,0.7198710775230079,spearman_partial,evap,watergap2,wet cold,yes
0.7143539776272739,0.8416120668755026,spearman,evap,watergap2,wet cold,yes
0.2376400161086428,0.5623241732983164,regression,evap,watergap2,wet cold,yes
0.7181525739147959,0.12285697624298147,spearman_partial,qr,watergap2,wet cold,yes
0.8176801827580823,0.5709498160168116,spearman,qr,watergap2,wet cold,yes
0.15564571142731498,0.1230716273889564,regression,qr,watergap2,wet cold,yes
0.7144458883448337,-0.44594012797276605,spearman_partial,qtot,watergap2,wet cold,yes
0.6319530010200092,0.13079811162060745,spearman,qtot,watergap2,wet cold,yes
0.6736638456100394,-0.01659709794031886,regression,qtot,watergap2,wet cold,yes
0.7560448907731548,0.3513205768657447,spearman_partial,evap,watergap2,dry cold,yes
0.7782393941018162,0.43943590937134974,spearman,evap,watergap2,dry cold,yes
0.6147177630993859,0.26807235997568846,regression,evap,watergap2,dry cold,yes
0.8244966180345333,-0.10647154763830537,spearman_partial,qr,watergap2,dry cold,yes
0.8290943760452573,0.1865759341650966,spearman,qr,watergap2,dry cold,yes
0.14113126634280235,0.03528997211350238,regression,qr,watergap2,dry cold,yes
0.633768107099764,-0.4515925165135902,spearman_partial,qtot,watergap2,dry cold,yes
0.53061231053417,-0.21007359961643027,spearman,qtot,watergap2,dry cold,yes
0.31490130583168724,-0.046494224904732755,regression,qtot,watergap2,dry cold,yes
0.9462402555269445,0.080222257967073,spearman_partial,evap,watergap2,dry warm,yes
0.9552457681075651,0.4111500619049367,spearman,evap,watergap2,dry warm,yes
0.7282135670904955,0.5073486400120472,regression,evap,watergap2,dry warm,yes
0.8960311859190463,-0.30501216073875365,spearman_partial,qr,watergap2,dry warm,yes
0.8915715302092189,0.23738909620755808,spearman,qr,watergap2,dry warm,yes
0.11136453442624038,0.04591150392481958,regression,qr,watergap2,dry warm,yes
0.74491605942627,-0.19878492451921634,spearman_partial,qtot,watergap2,dry warm,yes
0.7428539198703278,0.18136981698799434,spearman,qtot,watergap2,dry warm,yes
0.2430144187101586,0.09389765955643457,regression,qtot,watergap2,dry warm,yes
0.16741360758485968,0.8103521100030233,spearman_partial,evap,h08,wet warm,yes
0.573401057076477,0.8734462611374572,spearman,evap,h08,wet warm,yes
0.13077395914093237,0.6639522577774044,regression,evap,h08,wet warm,yes
0.6679453810133997,-0.07837660106493767,spearman_partial,qr,h08,wet warm,yes
0.7218222694252024,0.3748401686482617,spearman,qr,h08,wet warm,yes
0.13756283763888244,0.14977663249398152,regression,qr,h08,wet warm,yes
0.9536195968444453,-0.5980975963976858,spearman_partial,qtot,h08,wet warm,yes
0.9373979365629885,0.37454016531370865,spearman,qtot,h08,wet warm,yes
0.8606261044322797,0.5483181744645538,regression,qtot,h08,wet warm,yes
0.4968952667443156,0.8708411259506128,spearman_partial,evap,h08,wet cold,yes
0.8087751307001582,0.9428791713987803,spearman,evap,h08,wet cold,yes
0.22891704714911698,0.6798145535907277,regression,evap,h08,wet cold,yes
