lat,lon,netrad
79.75,-99.25,-20.442765883669
79.75,-98.75,-21.352115354719036
79.75,-96.25,-19.858751416425395
79.75,-95.75,-21.077372778890993
79.75,-95.25,-20.674086097346304
79.75,-94.75,-20.28292821908701
79.75,-94.25,-19.70285308891808
79.75,-93.75,-19.095828081386664
79.75,-93.25,-18.436872511371742
79.75,-92.75,-17.905480182802517
79.75,-92.25,-17.292202912120565
79.75,-91.75,-16.507652490061776
79.75,-91.25,-15.845272893249954
79.75,-90.75,-15.739719753097367
79.75,-90.25,-15.559097348979892
79.75,-89.75,-15.50629882607049
79.75,-89.25,-15.851767737235429
79.75,-88.75,-15.999318590781822
79.75,-88.25,-16.321600472397826
79.75,-87.75,-14.657068151175448
79.75,-87.25,-14.91982042272955
79.75,-86.75,-3.1278173508591394
79.75,-86.25,-4.547133017716028
79.75,-85.75,-3.9948855572429096
79.75,-85.25,-3.810791222825138
79.75,-84.75,-13.855128207578055
79.75,-84.25,-13.35792651756833
79.75,-83.75,-14.309262808439534
79.75,-83.25,-14.232285812384465
79.75,-82.75,-14.474340244877851
79.75,-82.25,-13.868429201604286
79.75,-81.75,-14.308229058819613
79.75,-81.25,-15.071518891346958
79.75,-80.75,-15.142363384497772
79.75,-80.25,-15.087419486875792
79.75,-79.75,-15.410514416846905
79.75,-79.25,-15.068460951404155
79.75,-78.75,-14.906870540558062
79.75,-78.25,-14.563460035734192
79.75,-77.75,-14.421975566822876
79.75,-77.25,-14.563503868699376
79.75,-76.75,-14.229169892243313
79.75,-76.25,-14.741464163345773
79.75,91.75,-21.77674321675188
79.75,92.25,-22.622992894762316
79.75,92.75,-22.79455637526899
79.75,93.25,-22.342995239498666
79.75,94.25,-22.911637733340118
79.75,94.75,-22.717278826153613
79.75,95.25,-21.107441402202138
79.75,95.75,-21.89737518395321
79.75,96.25,-22.667759771789083
79.75,96.75,-17.76620470941662
79.75,97.25,-18.172798101219556
79.75,97.75,-18.110843863472358
79.75,98.25,-18.0168986592702
79.75,98.75,-17.67751982479979
79.75,99.25,-17.93301016611121
79.75,99.75,-17.08488526734592
79.25,-105.25,-21.962753596530668
79.25,-104.75,-21.970739896326023
79.25,-104.25,-22.070511227721347
79.25,-103.75,-22.442402719298634
79.25,-103.25,-22.19702098940235
79.25,-94.25,-21.576392291172787
79.25,-93.75,-21.319961177460037
79.25,-93.25,-20.912039961227357
79.25,-92.75,-20.23481877097703
79.25,-92.25,-19.951774257835616
79.25,-91.75,-19.269875172717754
79.25,-91.25,-18.694136577640492
79.25,-90.75,-18.367011205429776
79.25,-90.25,-18.117577341724562
79.25,-89.75,-17.222774438193788
79.25,-89.25,-16.96745492293942
79.25,-88.75,-17.079148047009383
79.25,-88.25,-17.39343948191437
79.25,-87.75,-15.023306167164481
79.25,-87.25,-15.719863821903093
79.25,-86.75,-15.281117963614228
79.25,-86.25,-6.42488895517662
79.25,-85.75,-5.571902409964885
79.25,-85.25,-5.148644019709238
79.25,-84.75,-5.318854928379764
79.25,-84.25,-6.258153463133496
